0, Acid Splash, Conjuration, phb 211
0, Blade Ward, Abjuration, phb 218
0, Chill Touch, Necromancy, phb 221
0, Control Flames, Transmutation, ee 16
0, Create Bonfire, Conjuration, ee 16
0, Dancing Lights, Evocation, phb 230
0, Druidcraft, Transmutation, phb 236
0, Eldritch Blast, Evocation, phb 237
0, Fire Bolt, Evocation, phb 242
0, Friends, Enchantment, phb 244
0, Frostbite, Evocation, ee 18
0, Guidance, Divination, phb 248
0, Gust, Transmutation, ee 19
0, Light, Evocation, phb 255
0, Mage Hand, Conjuration, phb 256
0, Magic Stone, Transmutation, ee 20
0, Mending, Transmutation, phb 259
0, Message, Transmutation, phb 259
0, Minor Illusion, Illusion, phb 260
0, Mold Earth, Transmutation, ee 21
0, Poison Spray, Conjuration, phb 266
0, Prestidigitation, Transmutation, phb 267
0, Produce Flame, Conjuration, phb 269
0, Ray of Frost, Evocation, phb 271
0, Resistance, Abjuration, phb 272
0, Sacred Flame, Evocation, phb 272
0, Shape Water, Transmutation, ee 21
0, Shillelagh, Transmutation, phb 275
0, Shocking Grasp, Evocation, phb 275
0, Spare the Dying, Necromancy, phb 277
0, Thaumaturgy, Transmutation, phb 282
0, Thorn Whip, Transmutation, phb 282
0, Thunderclap, Evocation, ee 22
0, True Strike, Divination, phb 284
0, Vicious Mockery, Enchantment, phb 285
1, Absorb Elements, Abjuration, ee 15
1, Alarm, Abjuration, phb 211
1, Animal Friendship, Enchantment, phb 212
1, Armor of Agathys, Abjuration, phb 215
1, Arms of Hadar, Conjuration, phb 215
1, Bane, Enchantment, phb 216
1, Beast Bond, Divination, ee 15
1, Bless, Enchantment, phb 219
1, Burning Hands, Evocation, phb 220
1, Catapult, Transmutation, ee 15
1, Charm Person, Enchantment, phb 221
1, Chromatic Orb, Evocation, phb 221
1, Color Spray, Illusion, phb 222
1, Command, Enchantment, phb 223
1, Compelled Duel, Enchantment, phb 224
1, Comprehend Languages, Divination, phb 224
1, Create or Destroy Water, Transmutation, phb 229
1, Cure Wounds, Evocation, phb 230
1, Detect Evil and Good, Divination, phb 231
1, Detect Magic, Divination, phb 231
