0, Acid Splash, Conjuration, 1 action, phb 211
0, Blade Ward, Abjuration, 1 action, phb 218
0, Chill Touch, Necromancy, 1 action, phb 221
0, Control Flames, Transmutation, 1 action, ee 16
0, Create Bonfire, Conjuration, 1 action, ee 16
0, Dancing Lights, Evocation, 1 action, phb 230
0, Fire Bolt, Evocation, 1 action, phb 242
0, Friends, Enchantment, 1 action, phb 244
0, Frostbite, Evocation, 1 action, ee 18
0, Gust, Transmutation, 1 action, ee 19
0, Light, Evocation, 1 action, phb 255
0, Mage Hand, Conjuration, 1 action, phb 256
0, Mending, Transmutation, 1 minute, phb 259
0, Message, Transmutation, 1 action, phb 259
0, Minor Illusion, Illusion, 1 action, phb 260
0, Mold Earth, Transmutation, 1 action, ee 21
0, Poison Spray, Conjuration, 1 action, phb 266
0, Prestidigitation, Transmutation, 1 action, phb 267
0, Ray of Frost, Evocation, 1 action, phb 271
0, Shape Water, Transmutation, 1 action, ee 21
0, Shocking Grasp, Evocation, 1 action, phb 275
0, Thunderclap, Evocation, 1 action, ee 22
0, True Strike, Divination, 1 action, phb 284
1, Absorb Elements, Abjuration, 1 reaction, ee 15
1, Alarm, Abjuration, 1 minute, phb 211
1, Burning Hands, Evocation, 1 action, phb 220
1, Catapult, Transmutation, 1 action, ee 15
1, Charm Person, Enchantment, 1 action, phb 221
1, Chromatic Orb, Evocation, 1 action, phb 221
1, Color Spray, Illusion, 1 action, phb 222
1, Comprehend Languages, Divination, 1 action, phb 224
1, Detect Magic, Divination, 1 action, phb 231
1, Disguise Self, Illusion, 1 action, phb 233
1, Earth Tremor, Evocation, 1 action, ee 17
1, Expeditious Retreat, Transmutation, 1 bonus action, phb 238
1, False Life, Necromancy, 1 action, phb 239
1, Feather Fall, Transmutation, 1 reaction, phb 239
1, Find Familiar, Conjuration, 1 hour, phb 240
1, Fog Cloud, Conjuration, 1 action, phb 243
1, Grease, Conjuration, 1 action, phb 246
1, Ice Knife, Conjuration, 1 action, ee 19
1, Identify, Divination, 1 minute, phb 252
1, Illusory Script, Illusion, 1 minute, phb 252
1, Jump, Transmutation, 1 action, phb 254
1, Longstrider, Transmutation, 1 action, phb 256
1, Mage Armor, Abjuration, 1 action, phb 256
1, Magic Missile, Evocation, 1 action, phb 257
1, Protection from Evil and Good, Abjuration, 1 action, phb 270
